Index,Variant,country,Region,Subregion,Notes,Countrycode,Type,Parent code,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
98,Medium variant,Kuwait,Asia,Western Asia,,414,Country/Area,922,36.8,37.4,36.9,37,37.4,37.9,38.6,39.1,39.2,38.8,38.7,39,39.6,40.2,40.6,40.8,40.8
99,Medium variant,Lebanon,Asia,Western Asia,,422,Country/Area,922,29.6,32.7,35.4,37.6,39.6,41.2,42.6,43.6,44.7,45.6,46.7,47.7,48.6,49.2,49.5,49.8,50.2
100,Medium variant,Oman,Asia,Western Asia,,512,Country/Area,922,30.6,32.1,33.7,34.9,35.5,36.6,38.4,40.1,42,43.7,44.9,45.5,45.6,45.5,45.5,45.8,46.1
101,Medium variant,Qatar,Asia,Western Asia,,634,Country/Area,922,32.3,33.6,35.3,37.1,38.7,40.1,41.4,42.4,43.2,43.6,43.9,44,43.9,43.6,43.4,43.1,42.9
102,Medium variant,Saudi Arabia,Asia,Western Asia,,682,Country/Area,922,31.8,33.3,35,36.3,37.6,38.9,40.2,41.6,42.9,44,44.9,45.5,45.8,46.1,46.5,47,47.4
103,Medium variant,State of Palestine,Asia,Western Asia,7,275,Country/Area,922,20.8,21.9,23.1,24.5,26.1,27.6,29.1,30.5,32,33.4,34.8,36.2,37.6,38.9,40.2,41.4,42.5
104,Medium variant,Syrian Arab Republic,Asia,Western Asia,,760,Country/Area,922,25.6,27.8,29.1,30,31.3,32.7,34.3,36.2,38.1,39.8,41,41.8,42.6,43.6,44.7,45.9,47
105,Medium variant,Turkey,Asia,Western Asia,,792,Country/Area,922,31.5,33.3,35,36.8,38.5,40.2,41.7,43.1,44.5,45.7,46.8,47.8,48.6,49.3,49.9,50.5,51
106,Medium variant,United Arab Emirates,Asia,Western Asia,,784,Country/Area,922,32.6,32.9,33.4,33.6,33.7,34,34.5,34.8,35,35.2,35.2,35.3,35.5,35.8,36.1,36.3,36.5
107,Medium variant,Yemen,Asia,Western Asia,,887,Country/Area,922,20.2,21.4,22.8,24.3,25.9,27.6,29.2,30.9,32.5,34.1,35.6,37,38.4,39.6,40.8,41.8,42.7
110,Medium variant,Kazakhstan,Asia,Central Asia,,398,Country/Area,5500,30.7,31.8,32,31.4,31.8,32.9,34.2,35.5,36.4,37.1,37.7,38.4,39.4,40.5,41.7,42.7,43.6
111,Medium variant,Kyrgyzstan,Asia,Central Asia,,417,Country/Area,5500,26,26.8,27.3,27.8,28.8,30.2,31.5,32.6,33.6,34.4,35.3,36.3,37.5,38.7,39.8,40.9,41.8
112,Medium variant,Tajikistan,Asia,Central Asia,,762,Country/Area,5500,22.4,22.7,23.2,23.9,24.8,25.9,26.9,27.8,28.5,29.4,30.6,31.9,33.2,34.3,35.5,36.7,38
113,Medium variant,Turkmenistan,Asia,Central Asia,,795,Country/Area,5500,26.9,28,28.8,29.5,30.2,31.6,33,34.2,35.3,36.1,36.7,37.5,38.4,39.4,40.4,41.2,41.8
114,Medium variant,Uzbekistan,Asia,Central Asia,,860,Country/Area,5500,27.8,29.6,31,32,32.9,34,35.4,36.9,38.2,39.2,39.9,40.6,41.4,42.4,43.3,44,44.6
116,Medium variant,Afghanistan,Asia,Southern Asia,,4,Country/Area,5501,18.4,19.9,21.5,23.2,24.9,26.6,28.4,30.2,32,33.8,35.5,37.1,38.6,40,41.2,42.3,43.4
117,Medium variant,Bangladesh,Asia,Southern Asia,,50,Country/Area,5501,27.6,29.5,31.6,33.8,35.9,38,40,41.8,43.5,45.2,46.6,47.9,49,49.8,50.4,50.9,51.2
118,Medium variant,Bhutan,Asia,Southern Asia,,64,Country/Area,5501,28.1,30.6,33,35.4,37.7,40,42.1,44,45.6,47.3,48.9,50.3,51.3,52.1,52.6,53.1,53.5
119,Medium variant,India,Asia,Southern Asia,,356,Country/Area,5501,28.4,30,31.7,33.3,35,36.6,38.1,39.3,40.4,41.5,42.5,43.5,44.4,45.1,45.7,46.2,46.7
120,Medium variant,Iran (Islamic Republic of),Asia,Southern Asia,,364,Country/Area,5501,32,34.2,36.2,37.6,38.6,39.4,40.2,41.3,42.6,43.8,44.6,45,45.1,45.3,45.8,46.6,47.4
121,Medium variant,Maldives,Asia,Southern Asia,,462,Country/Area,5501,29.9,33.8,37.1,40.2,42.6,44.5,45.7,47.3,48.9,50.5,51.6,52.1,51.8,51.2,51,51.3,51.8
122,Medium variant,Nepal,Asia,Southern Asia,,524,Country/Area,5501,24.6,27.7,30.3,32.8,35.4,37.8,40.1,42.3,44.4,46.4,48.3,50.1,51.5,52.7,53.6,54.3,54.9
123,Medium variant,Pakistan,Asia,Southern Asia,,586,Country/Area,5501,22.8,23.8,24.9,26.1,27.4,28.7,30,31.4,32.6,33.8,34.9,36,37.1,38.1,39.2,40.1,41
124,Medium variant,Sri Lanka,Asia,Southern Asia,,144,Country/Area,5501,34,35.4,36.6,37.6,38.7,39.9,41.2,42.6,44,45.3,46.3,47.4,48.5,49.9,51.2,52.5,53.7
127,Medium variant,China,Asia,Eastern Asia,8,156,Country/Area,906,38.4,40.2,42.6,45,46.3,47.2,47.6,47.8,48.2,48.8,49.2,49.3,49.2,49.1,49.2,49.4,49.7
128,Medium variant,"China, Hong Kong SAR",Asia,Eastern Asia,9,344,Country/Area,906,44.8,46.4,47.9,49.7,51.3,52.7,53.4,52.8,51.3,50.2,50,50.1,50.4,50.1,49.5,48.9,48.8
129,Medium variant,"China, Macao SAR",Asia,Eastern Asia,10,446,Country/Area,906,39.3,41.7,44.2,46.8,48.9,50.3,50.5,49.3,48.7,48.8,49.1,49,48.5,47.7,47.2,47.2,47.5
130,Medium variant,"China, Taiwan Province of China",Asia,Eastern Asia,11,158,Country/Area,906,42.5,45.1,47.4,49.6,51.3,52.9,54.2,55.2,55.3,54.2,53.6,53,52.6,52.4,52,51.5,51
131,Medium variant,Dem. People's Republic of Korea,Asia,Eastern Asia,,408,Country/Area,906,35.3,36.5,37.8,39.1,40.4,41.5,42.1,42.5,43,43.7,44.6,45.4,46,46.3,46.6,47,47.6
132,Medium variant,Japan,Asia,Eastern Asia,,392,Country/Area,906,48.4,50.5,52.1,53.3,54.1,54.6,54.7,54.9,55.1,55.1,55.1,54.7,54.1,53.8,53.6,53.7,53.8
133,Medium variant,Mongolia,Asia,Eastern Asia,,496,Country/Area,906,28.2,29,29.2,29.2,30,31.4,32.7,34,35,35.7,36.4,37.1,38,39,40.1,41.1,42
134,Medium variant,Republic of Korea,Asia,Eastern Asia,,410,Country/Area,906,43.7,46.5,49.1,51.4,53.4,54.9,56.5,57.7,58.5,58.5,58.3,57.9,57.1,56.2,55.7,55.1,54.6
136,Medium variant,Brunei Darussalam,Asia,South-Eastern Asia,,96,Country/Area,920,32.3,34.7,36.8,38.9,40.9,42.5,43.9,44.9,46.3,47.3,48.1,48.6,49,49.2,49.5,49.8,50.1
137,Medium variant,Cambodia,Asia,South-Eastern Asia,,116,Country/Area,920,25.6,27.2,28.5,29.6,31,32.5,34,35.5,36.9,38.1,39.2,40.2,41.3,42.4,43.4,44.4,45.2
138,Medium variant,Indonesia,Asia,South-Eastern Asia,,360,Country/Area,920,29.7,31,32.4,33.8,35.1,36.2,37.4,38.6,39.7,40.6,41.5,42.4,43.3,44.1,44.9,45.6,46.2
